0.000000, 4.000000, 1.000000, 2.000000, 41.500000
0.020000, 4.038763, 0.977489, 1.920519, 41.500000
0.040000, 4.075131, 0.955683, 1.842094, 41.500000
0.060000, 4.109219, 0.934598, 1.764743, 41.500000
0.080000, 4.141140, 0.914249, 1.688478, 41.500000
0.100000, 4.171002, 0.894646, 1.613302, 41.500000
0.120000, 4.198907, 0.875800, 1.539213, 41.500000
0.140000, 4.224956, 0.857717, 1.466202, 41.500000
0.160000, 4.249242, 0.840403, 1.394254, 41.500000
0.180000, 4.271855, 0.823864, 1.323351, 41.500000
0.200000, 4.292880, 0.808100, 1.253469, 41.500000
0.220000, 4.312398, 0.793116, 1.184578, 41.500000
0.240000, 4.330485, 0.778910, 1.116648, 41.500000
0.260000, 4.347212, 0.765483, 1.049644, 41.500000
0.280000, 4.362645, 0.752835, 0.983527, 41.500000
0.300000, 4.376849, 0.740964, 0.918256, 41.500000
0.320000, 4.389880, 0.729868, 0.853788, 41.500000
0.340000, 4.401792, 0.719546, 0.790079, 41.500000
0.360000, 4.412636, 0.709995, 0.727081, 41.500000
0.380000, 4.422456, 0.701212, 0.664745, 41.500000
0.400000, 4.431294, 0.693195, 0.603021, 41.500000
0.420000, 4.439188, 0.685941, 0.541857, 41.500000
0.440000, 4.446172, 0.679449, 0.481202, 41.500000
0.460000, 4.452276, 0.673715, 0.421001, 41.500000
0.480000, 4.457526, 0.668737, 0.361201, 41.500000
0.500000, 4.461945, 0.664514, 0.301746, 41.500000
0.520000, 4.465552, 0.661043, 0.242582, 41.500000
0.540000, 4.468364, 0.658323, 0.183651, 41.500000
0.560000, 4.470392, 0.656354, 0.124898, 41.500000
0.580000, 4.471645, 0.655133, 0.066266, 41.500000
0.600000, 4.472129, 0.654660, 0.007698, 41.500000
0.620000, 4.471847, 0.654936, -0.050862, 41.500000
0.640000, 4.470796, 0.655960, -0.109472, 41.500000
0.660000, 4.468972, 0.657733, -0.168188, 41.500000
0.680000, 4.466368, 0.660255, -0.227066, 41.500000
0.700000, 4.462971, 0.663528, -0.286164, 41.500000
0.720000, 4.458767, 0.667554, -0.345537, 41.500000
0.740000, 4.453738, 0.672333, -0.405241, 41.500000
0.760000, 4.447861, 0.677868, -0.465331, 41.500000
0.780000, 4.441111, 0.684161, -0.525862, 41.500000
0.800000, 4.433460, 0.691214, -0.586886, 41.500000
