0.000000, 1.582756, 4.353932, -0.581154, 0.225543, 0.399971, 0.004784, -0.255536, 0.250364, 3.566962
0.004821, 1.555517, 4.341965, -0.599673, 0.247305, 0.399953, -0.006112, -0.252568, 0.247296, 3.566962
0.009475, 1.528407, 4.330119, -0.617458, 0.268106, 0.399641, -0.016951, -0.249834, 0.244168, 3.566962
0.013969, 1.501449, 4.318391, -0.634543, 0.288009, 0.399039, -0.027717, -0.247329, 0.241001, 3.566962
0.018329, 1.474550, 4.306729, -0.651031, 0.307151, 0.398149, -0.038439, -0.245041, 0.237799, 3.566962
0.022584, 1.447575, 4.295064, -0.667045, 0.325690, 0.396967, -0.049164, -0.242956, 0.234557, 3.566962
0.026764, 1.420367, 4.283323, -0.682707, 0.343781, 0.395483, -0.059945, -0.241066, 0.231270, 3.566962
0.030897, 1.392763, 4.271430, -0.698133, 0.361570, 0.393678, -0.070838, -0.239362, 0.227927, 3.566962
0.035011, 1.364590, 4.259307, -0.713438, 0.379200, 0.391526, -0.081899, -0.237846, 0.224518, 3.566962
0.039133, 1.335660, 4.246871, -0.728736, 0.396814, 0.388993, -0.093190, -0.236519, 0.221030, 3.566962
0.043291, 1.305768, 4.234033, -0.744146, 0.414559, 0.386034, -0.104775, -0.235393, 0.217450, 3.566962
0.047510, 1.274706, 4.220705, -0.759783, 0.432581, 0.382594, -0.116713, -0.234484, 0.213764, 3.566962
0.051808, 1.242310, 4.206820, -0.775740, 0.451000, 0.378613, -0.129044, -0.233816, 0.209970, 3.566962
0.056179, 1.208596, 4.192388, -0.792027, 0.469845, 0.374048, -0.141733, -0.233425, 0.206084, 3.566962
0.060575, 1.173932, 4.177575, -0.808500, 0.488964, 0.368911, -0.154611, -0.233344, 0.202165, 3.566962
0.064921, 1.138942, 4.162658, -0.824913, 0.508087, 0.363276, -0.167422, -0.233589, 0.198298, 3.566962
0.069171, 1.104064, 4.147831, -0.841120, 0.527057, 0.357217, -0.179988, -0.234160, 0.194542, 3.566962
0.073323, 1.069392, 4.133146, -0.857136, 0.545901, 0.350763, -0.192263, -0.235051, 0.190911, 3.566962
0.077398, 1.034829, 4.118572, -0.873058, 0.564743, 0.343910, -0.204269, -0.236258, 0.187401, 3.566962
0.081423, 1.000217, 4.104057, -0.889005, 0.583733, 0.336635, -0.216048, -0.237786, 0.184002, 3.566962
0.085423, 0.965394, 4.089548, -0.905088, 0.603019, 0.328909, -0.227637, -0.239648, 0.180704, 3.566962
0.089423, 0.930208, 4.075002, -0.921413, 0.622744, 0.320698, -0.239067, -0.241860, 0.177501, 3.566962
0.093444, 0.894529, 4.060387, -0.938070, 0.643036, 0.311966, -0.250354, -0.244444, 0.174391, 3.566962
0.097505, 0.858253, 4.045688, -0.955128, 0.664009, 0.302681, -0.261504, -0.247425, 0.171374, 3.566962
